RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
3101,Los Angeles County,California,1,463600,449300,432000,419800,404000,388700,372600,360300,350100,336700,322400,311100,305000,299900,295800,299400,306700,314500,322100,326200,330400,333400,338300,339400,338400,335400,338700,336000,336600,331800,337600,335200,337200,333900,330600,328600,325500,329000,326800,322300,319500,316100,317200,309900,310700,308900,309800,309100,309600,314600,316100,318900,323400,329800,338500,344700,354600,362300,365700,366600,374000,388200,401200,410300,416000,421800,423800,427100,426000,424600,420200,422100,422500,426900,428100,428300,431100,432400,434700,435300,436400,439800,442800,447900,452400,456000,456300,458500,458700,461900,461800,462500,461900,470800,474300,478200,477000,484400,490300,491700,490800,491200,493700,491300,494500,491800,497300,491200,496700,496200,504800,507200,511200,513700,519900,529400,543000,550300,556900,559900,564100,564200,566200,569700,573000,576500,579800,588200,596400,595900,597700,597800,605000,608200,604500,602600,605600,607900,611300
139,Cook County,Illinois,2,,,,,,,,,,,,,,,,198800,198900,201800,204100,205800,210100,210400,210800,205000,203200,202200,200800,199900,193000,187800,179300,179900,183300,188500,187700,187400,182300,176600,167000,164300,168300,173900,175900,174000,168300,168800,164800,164700,162100,163000,162000,165200,167200,172500,173600,170600,170400,165300,167700,164800,166500,165500,172600,183100,197100,204600,207000,209100,207000,207300,202900,208400,206500,206200,203100,206400,209300,212400,217100,219900,219700,216100,217700,217300,222700,223500,224400,219500,215400,206900,202800,196500,193800,190200,188300,188500,187500,190400,190100,191900,193000,197600,197000,197900,201400,208400,211700,213100,213000,212100,208800,204400,202000,202500,202700,204500,206700,211400,216600,221900,231700,232900,229600,225600,226700,228600,227600,229300,236100,229100,232700,242000,261100,262300,252100,241100,236000,233400,232200
2402,Maricopa County,Arizona,3,231800,221500,212400,208100,202700,197100,187500,178700,169600,159400,149800,138800,130200,121600,117200,119800,124200,129000,131000,132400,136600,136700,137800,136700,136800,135500,132400,131700,130600,128800,126800,125500,125000,121500,120600,120200,119800,116500,112700,113700,114800,115700,116900,118300,123500,125000,119600,112700,109300,114900,120000,123600,124800,127000,127000,131700,136700,141400,143600,143300,146000,148000,150800,152700,155700,156500,157200,157300,156900,158300,158000,159200,158600,158900,158900,158100,159300,160000,163300,163400,164600,166000,166100,168700,170500,173900,175800,177800,179100,180100,181500,182900,184700,187400,189000,190300,191500,194000,196300,197800,198600,200900,202200,204800,207700,207700,209200,209700,212000,211300,211400,211600,213900,215600,217400,219400,223000,224600,228800,231900,235400,235100,233400,234800,238000,240100,240200,241600,246000,248900,253500,255700,258500,257600,257200,258600,260700,259500,259100
2841,San Diego County,California,4,402300,393300,379600,368000,353600,341700,331500,320700,308200,298200,289900,288400,283400,282300,280600,289200,298400,309000,315400,321300,325700,329800,326000,327800,329000,335500,335000,331600,331300,330600,333600,334500,334800,335600,326900,322300,318600,321500,321500,318200,317400,318400,316300,315900,313600,316600,315900,316500,318600,323100,328700,330600,335300,339600,347600,353000,360000,367800,370200,371400,373700,384800,396800,404000,409600,410800,415100,414500,416400,417800,417700,418200,418500,422700,426700,429400,433600,436500,438800,440200,438300,436500,438600,443800,449000,447900,448800,452900,457400,460400,458000,457000,460900,466000,472100,471100,472700,475700,479500,480100,478600,480800,484400,492100,493800,496400,497600,503600,508300,510000,512100,516600,519200,522000,524900,528700,536300,541000,543000,544200,545600,553600,554400,556000,553500,556100,559500,560300,555700,553100,551900,555500,553100,557600,557700,563000,562100,566400,
1286,Orange County,California,5,514200,506400,489600,471100,457200,446200,436200,423500,407100,397600,385000,385600,383200,382200,386500,395500,410400,420600,427600,434300,437200,440700,445800,447400,447300,440300,436700,433800,438800,439900,444400,442900,441400,431600,427100,425200,432700,430300,424600,416800,417100,417900,419400,412600,408600,402300,405300,404700,406300,407600,412900,422200,432700,443300,448500,451500,455900,463600,466200,477600,488700,507700,514700,520100,522400,527100,529600,527900,528600,535000,541900,549800,549600,548600,548300,548700,550300,551800,555300,564900,565800,565600,559700,567100,572700,578800,574200,577700,584200,592100,594900,591500,593600,595500,603500,604200,606000,606400,608700,612000,611900,621800,620900,617600,602100,595900,591900,591800,595700,601300,608600,610900,614100,614200,619800,636400,657100,670800,679000,692600,709900,709700,702800,696400,702900,707900,713300,709700,703500,692300,692100,692900,698300,702400,701000,700700,700500,702700,702200
2964,Miami-Dade County,Florida,6,289100,280100,269600,256800,249000,242900,234800,223200,211900,204200,190900,179600,169100,160900,153900,149700,152200,156300,156600,157100,157000,158700,164700,166600,172000,169300,170000,163900,155300,145800,135700,137700,141300,142900,130900,124200,121700,130800,139400,147100,159300,157900,154200,146600,147000,154000,159500,162100,162300,163600,165900,170500,169600,169400,168300,168100,171000,177700,182600,188000,186300,188900,193200,198900,201100,203700,202100,198200,199700,199600,205000,195700,197000,198200,205800,206200,210000,208500,208500,207200,209000,213700,212400,214100,215700,217700,222200,223000,225100,222200,223900,224000,225600,224900,227500,230100,230400,231700,230000,232900,234900,240100,242100,245900,249300,251600,252300,251000,252300,254200,254000,253300,249800,253500,257300,259800,259400,259500,265700,268300,272900,269400,268200,266300,267800,271700,270700,274500,276500,281400,280300,279100,281900,282500,282800,280700,282100,287300,
2832,Riverside County,California,7,317100,299900,283100,270700,259300,247500,236400,228200,218200,209200,200500,193000,184200,174900,169400,168100,169300,171500,173800,177000,181500,185600,190600,192900,192700,189800,190700,192300,193500,192300,192600,193000,190800,190200,190100,192600,191400,188200,185800,184600,184200,183100,183700,184700,185500,184400,185500,185700,187400,190700,193100,195300,196500,199600,204400,210300,216000,222000,226700,229900,233800,236600,242000,247500,251800,255000,258700,263300,268000,270200,274600,277800,279400,277500,279200,280500,282800,283000,283300,284000,284700,286800,288500,293300,294500,297300,294800,295400,297000,299700,302100,302700,302700,304900,307100,308600,310700,311400,312500,312700,314100,318400,322700,322800,320900,318000,319300,322300,324900,328800,328500,331500,333800,337500,338200,343100,348000,352400,358300,366500,368300,366900,365000,367800,368400,367200,371400,371400,377100,378500,384700,384900,383000,380000,378600,379800,380000,382800,388900
3250,San Bernardino County,California,8,267800,255300,241100,232700,220200,211700,201300,195000,186400,176800,167400,158100,151000,141400,136300,132900,132800,134800,138000,142100,145500,147600,149500,149200,148400,147800,148000,150100,150600,153000,154300,154100,152500,150000,150900,151600,151100,148200,145000,143500,144600,147100,150000,150500,150600,148000,147500,145800,146700,148700,151100,154200,156300,160400,164100,166500,171900,174300,178000,175100,178000,180800,188400,192000,195400,200300,210000,219300,219400,219800,218600,222900,221500,224100,226700,230900,231800,233000,232200,235200,237300,240300,240000,240800,244400,247500,247900,247000,249200,253600,256400,254800,255400,256600,259800,261000,262300,261900,264100,263800,267600,267000,276000,274000,274200,267500,266100,266000,268000,272600,276300,278700,279100,280600,285200,293800,299900,301000,302800,308300,311200,313800,311100,314800,315400,317900,318700,319400,316400,313100,314300,319100,323000,324600,327800,329000,328200,328000,340000
445,Clark County,Nevada,9,244900,239900,235200,225700,216100,205300,195700,187800,179000,171400,162800,155100,148000,137900,130500,124200,122800,120600,121200,122400,124800,125200,125000,123900,124200,125800,128400,128900,126400,125200,123700,123000,121400,119200,118100,116600,114800,113300,112000,110800,108500,106100,106000,107900,110500,110800,110800,108700,109600,112100,116200,119200,120900,122800,126300,130100,134700,137700,140400,141400,144700,148500,152700,156300,159400,162600,164100,165300,166600,168800,170000,171000,172800,173700,174500,166600,167100,170000,179300,181200,181800,183600,184300,186600,187000,189100,188800,186600,188400,189900,195100,194200,196200,196200,200400,201200,201600,199500,200100,199900,201900,201800,204400,206200,208200,208900,211300,212800,218000,219700,223500,225500,228500,230100,232800,235800,238400,241400,244000,247100,250000,253200,257900,260300,260400,261500,264300,268800,270300,270700,272900,272400,274300,270800,272700,271500,273100,273500,275600
207,King County,Washington,10,392200,390500,383200,376700,366100,364500,362000,360800,355800,358500,365100,365800,355200,340900,332500,330200,328900,331500,335400,339400,338100,347100,360100,370000,365400,350900,341800,336400,347700,353400,359800,352800,353000,355900,359800,361900,352100,343000,328600,319800,310300,309900,313100,307700,303500,300500,306000,303900,301400,310700,320500,333100,333200,338800,341900,347700,357900,361700,359400,357700,361300,366300,368100,366000,373300,375600,382700,381100,380200,376000,377100,379000,379900,377100,373800,376300,382600,385000,388800,388100,390700,388300,388700,388800,391600,402100,407300,410300,403200,408700,410400,415300,416200,424500,431100,435300,436000,438400,440200,445800,443700,444800,443500,449800,459400,467100,475800,479100,486800,498600,508200,515900,521400,531400,536100,541200,543300,551900,554200,561600,575200,597100,604400,596300,578000,569900,571000,575200,576000,575000,573200,578100,586100,598700,609700,609500,597600,587100,578000
